section,in_resume,title,loc,institution,start,end,description_1,description_2,description_3
education,TRUE,"PhD. Candidate, Supply Chain Management",Arizona State University,"Tempe, AZ",2017,2022,Thesis title: Management of Digital Supply Chain,"Committee: Thomas Choi (Chair), Kevin Dooley, Adegoke Oke",
education,TRUE,"M.S., Management",Georgia Institute of Technology,"Atlanta, GA",2014,2016,NA,NA,
education,TRUE,"M.S., Technology Management, Economic, and Policy Program",Seoul National University,"Seoul, Korea",2007,2009,NA,NA,
education,TRUE,"B.S., Naval Architecture and Ocean Engineering",Seoul National University,"Seoul, Korea",2002,2007,NA,NA,
research_positions,TRUE,Research Associate,Georgia Institute of Technology,"Atlanta, GA",2016,2017,Scheller College of Business,NA,NA
research_positions,TRUE,Senior Researcher,Korea Institute of Machinery and Materials,"Atlanta, GA",2009,2014,Department of Management Strategy,NA,NA
teaching_positions,TRUE,Instructor,Arizona State University,"Tempe, AZ",2020,2020,SCM 300,NA,NA
teaching_positions,TRUE,Teaching Assistance,Arizona State University,"Tempe, AZ",2017,2020,"SCM 300, SCM 355",5 classes taught,NA
teaching_positions,TRUE,Teaching Assistance,Georgia Institute of Technology,"Atlanta, GA",2016,2017,"MGT 2250, MGT 2251, MGT 8903, MGT 6663, MGT 4195",2 classes taught,
award_and_fellowships,TRUE,Honorarium ($150),Oxford University Press,N/A,2020,2020,NA,NA,NA
award_and_fellowships,TRUE,"University Graduate Fellowship ($5,000)",Arizona State University,N/A,2017,2017,NA,NA,NA
award_and_fellowships,TRUE,"2017 STEPI Fellowship ($3,000)",Science and Technology Policy Institute,N/A,2016,2016,NA,NA,NA
award_and_fellowships,TRUE,"Undergraduate Scholarship ($2,000)",Sorabol Educational Foundation,N/A,2002,2002,NA,NA,NA
award_and_fellowships,TRUE,Individual Travel Grant ($950),Arizona State University,N/A,2019,2019,NA,NA,NA
award_and_fellowships,TRUE,"Excellence Award, KMAC Best Student Paper and Case Competition ($2,000)",Korea Management Association Consulting,N/A,2018,2018,NA,NA,NA
award_and_fellowships,TRUE,"Second place ($1,000), Graduate Student Poster Competition",Institute for Social Science Research,N/A,2018,2018,NA,NA,NA
award_and_fellowships,TRUE,"The Director of the Korean Intellectual Property Office Award ($1,000), the 11th Intellectual Property Paper Competition for Graduates",Korean Intellectual Property Office,N/A,2016,2016,NA,NA,NA
award_and_fellowships,TRUE,"The Best Research Project of the Year ($1,000)",Korea Institute for Industrial Economics and Trade,N/A,2013,2013,NA,NA,NA
award_and_fellowships,TRUE,Final round nominee for Rookie of the Year,Korea Institute of Machinery and Materials,N/A,2013,2013,NA,NA,NA
award_and_fellowships,TRUE,Grand Prize,Korea Management Association Consultants,N/A,2010,2010,NA,NA,NA
academic_articles,TRUE,[Emerging procurement technology: data analytics and cognitive analytics](https://www.emerald.com/insight/content/doi/10.1108/ijpdlm-11-2017-0348),International Journal of Physical Distribution & Logistics Management,N/A,2019,2019,"Authored with Handfield, R. and Choi, T. ",NA,NA
academic_articles,TRUE,[Evolution of technology convergence networks in Korea: characteristics of temporal changes in R&D according to institution type](https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0192195),PLOS One,N/A,2018,2018,"Authored with Choi, J. and Jung, J.",NA,NA
academic_articles,TRUE,[Organizational and temporal shifts in procurement analytics: Implications for research](https://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780190066727.001.0001/oxfordhb-9780190066727-e-3),The Oxford Handbook of Supply Chain Management,N/A,2020,2020,"Authored with Handfield, R.",NA,NA
academic_articles,TRUE,[Strategic timing of academic commercialism: Evidence from technology transfer](https://link.springer.com/article/10.1007/s10961-015-9424-9),Journal of Technology Transfer,N/A,2015,2015,"Authored with Lee, S.",NA,NA
academic_articles,TRUE,"[Collaborative research for academic knowledge creation: How team characteristics, motivation, and processes influence research impact](https://academic.oup.com/spp/article-abstract/42/4/460/1609332?redirectedFrom=fulltext)",Science and Public Policy,N/A,2015,2015,"Authored with Choi, J. and Kim, J.",NA,NA
academic_articles,TRUE,[What drives technology convergence? Exploring the influence of technological and resource allocation contexts](https://www.sciencedirect.com/science/article/pii/S0923474815000144?casa_token=5aGxN8z3SC4AAAAA:8B7eGIypv1oL3w8TowE5D_0I95TqGfjKZsXLgnHJ2D4XCKzdeBg4BZLYrmJD8drCtOZD2T_OgIw),Journal of Engineering and Technology Management,N/A,2015,2015,"Authored with Lee, S.",NA,NA
